student_id,Hit@1,Hit@3,Hit@5,Recall@1,Recall@3,Recall@5,MRR,NDCG@5,Top1,Top2,Top3,Top4,Top5
S001,0,1,1,0.0,0.5,0.5,0.5,0.6309297535714575,Dr. K. Anitha,Dr. N. Aishwarya,Dr. Lakshmanan S. A,Swathi T. S.,Venkatakrishnan K S
S002,0,0,1,0.0,0.0,1.0,0.25,0.5012658353418871,Dr. Maran Ponnambalam,Dr. N. Aishwarya,Dr. Lakshmanan S. A,A. C. Sakkthi Saranya,Dr. V. Thenmozhi
S003,1,1,1,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.8772153153380493,Dr. Gayathri M.,Devanathan B.,Dr. Rishi Kumar,Dr. Ravichandran M.,Dr. Lakshmanan S. A
S004,1,1,1,0.5,1.0,1.0,1.0,1.0,Dr. N. Aishwarya,Dr. P. Mathivanan,Dr. K. Anitha,Dr. Lakshmanan S. A,Dr. C. Ganesh Kumar
S005,0,0,0,0.0,0.0,0.0,0.14285714285714285,0.0,Dr. Lakshmanan S. A,Dr. Gayathri M.,Dr. P. Selvaraj,A. C. Sakkthi Saranya,Dr. Rishi Kumar
S006,0,1,1,0.0,1.0,1.0,0.5,0.6934264036172708,Swathi T. S.,Dr. Jeyalakshmi S.,Dr. K. Anitha,Devanathan B.,S. Thiagarajan
S007,0,0,0,0.0,0.0,0.0,0.08333333333333333,0.0,Dr. Lakshmanan S. A,Devanathan B.,Dr. K. Anitha,Dr. P. Selvaraj,Dr. N. Aishwarya
S008,1,1,1,1.0,1.0,1.0,1.0,1.0,Dr. Ravichandran M.,Dr. Maran Ponnambalam,A. C. Sakkthi Saranya,Swathi T. S.,Dr. P. Mathivanan
S009,0,0,1,0.0,0.0,1.0,0.2,0.38685280723454163,Devanathan B.,Dr. Jeyalakshmi S.,Dr. K. Anitha,A. C. Sakkthi Saranya,Dr. Ravichandran M.
S010,1,1,1,1.0,1.0,1.0,1.0,1.0,Dr. K. Anitha,Devanathan B.,Swathi T. S.,Dr. Rishi Kumar,Dr. N. Aishwarya
S011,1,1,1,0.5,0.5,1.0,1.0,0.8772153153380493,Dr. Gayathri M.,Simhadri Ravishankar,Dr. Gorthala Guruprasad,Dr. Sita Devi Bharatula,Devanathan B.
S012,0,1,1,0.0,0.5,1.0,0.5,0.6509209298071326,Dr. Maran Ponnambalam,Dr. V. Thenmozhi,Dr. Lakshmanan S. A,A. C. Sakkthi Saranya,Simhadri Ravishankar
